age_band,E14001124
Aged 15 years and under,20.4
Aged 16 to 24 years,9.8
Aged 25 to 34 years,16.0
Aged 35 to 49 years,25.3
Aged 50 to 64 years,16.6
Aged 65 years and over,11.8
