age_band,E14001340
Aged 15 years and under,15.5
Aged 16 to 24 years,20.2
Aged 25 to 34 years,15.2
Aged 35 to 49 years,18.2
Aged 50 to 64 years,16.4
Aged 65 years and over,14.4
