age_band,E14001506
Aged 15 years and under,19.3
Aged 16 to 24 years,9.0
Aged 25 to 34 years,12.2
Aged 35 to 49 years,18.8
Aged 50 to 64 years,20.4
Aged 65 years and over,20.2
