age_band,E14001478
Aged 15 years and under,23.0
Aged 16 to 24 years,11.4
Aged 25 to 34 years,14.0
Aged 35 to 49 years,21.0
Aged 50 to 64 years,17.2
Aged 65 years and over,13.4
