age_band,E14001099
Aged 15 years and under,18.0
Aged 16 to 24 years,21.2
Aged 25 to 34 years,13.1
Aged 35 to 49 years,17.7
Aged 50 to 64 years,16.0
Aged 65 years and over,14.0
