age_band,E14001304
Aged 15 years and under,15.7
Aged 16 to 24 years,8.0
Aged 25 to 34 years,11.0
Aged 35 to 49 years,16.1
Aged 50 to 64 years,22.0
Aged 65 years and over,27.3
