age_band,W07000083
Aged 15 years and under,15.6
Aged 16 to 24 years,12.8
Aged 25 to 34 years,10.8
Aged 35 to 49 years,15.8
Aged 50 to 64 years,21.4
Aged 65 years and over,23.6
