age_band,E14001105
Aged 15 years and under,18.2
Aged 16 to 24 years,9.7
Aged 25 to 34 years,13.4
Aged 35 to 49 years,18.0
Aged 50 to 64 years,21.8
Aged 65 years and over,18.8
