age_band,E14001544
Aged 15 years and under,15.2
Aged 16 to 24 years,7.9
Aged 25 to 34 years,10.2
Aged 35 to 49 years,15.7
Aged 50 to 64 years,23.4
Aged 65 years and over,27.7
