age_band,W07000111
Aged 15 years and under,18.2
Aged 16 to 24 years,9.3
Aged 25 to 34 years,12.5
Aged 35 to 49 years,19.2
Aged 50 to 64 years,20.5
Aged 65 years and over,20.3
