age_band,W07000109
Aged 15 years and under,18.6
Aged 16 to 24 years,9.2
Aged 25 to 34 years,13.1
Aged 35 to 49 years,17.6
Aged 50 to 64 years,20.7
Aged 65 years and over,20.8
