age_band,N05000010
Aged 15 years and under,23.0
Aged 16 to 24 years,10.6
Aged 25 to 34 years,12.7
Aged 35 to 49 years,20.3
Aged 50 to 64 years,18.1
Aged 65 years and over,15.3
