age_band,E14001582
Aged 15 years and under,17.1
Aged 16 to 24 years,7.7
Aged 25 to 34 years,9.1
Aged 35 to 49 years,17.7
Aged 50 to 64 years,23.0
Aged 65 years and over,25.5
