age_band,E14001092
Aged 15 years and under,19.5
Aged 16 to 24 years,14.9
Aged 25 to 34 years,15.1
Aged 35 to 49 years,19.8
Aged 50 to 64 years,16.0
Aged 65 years and over,14.6
