age_band,E14001555
Aged 15 years and under,19.8
Aged 16 to 24 years,8.3
Aged 25 to 34 years,11.5
Aged 35 to 49 years,20.9
Aged 50 to 64 years,20.5
Aged 65 years and over,19.0
