age_band,E14001082
Aged 15 years and under,18.8
Aged 16 to 24 years,8.0
Aged 25 to 34 years,10.5
Aged 35 to 49 years,19.8
Aged 50 to 64 years,21.4
Aged 65 years and over,21.5
