age_band,E14001482
Aged 15 years and under,17.1
Aged 16 to 24 years,8.5
Aged 25 to 34 years,9.8
Aged 35 to 49 years,18.2
Aged 50 to 64 years,22.4
Aged 65 years and over,24.0
