age_band,E14001258
Aged 15 years and under,16.7
Aged 16 to 24 years,17.7
Aged 25 to 34 years,12.1
Aged 35 to 49 years,19.1
Aged 50 to 64 years,18.1
Aged 65 years and over,16.4
