age_band,E14001500
Aged 15 years and under,18.4
Aged 16 to 24 years,15.9
Aged 25 to 34 years,16.7
Aged 35 to 49 years,20.9
Aged 50 to 64 years,15.4
Aged 65 years and over,12.9
