age_band,E14001160
Aged 15 years and under,14.8
Aged 16 to 24 years,12.6
Aged 25 to 34 years,22.1
Aged 35 to 49 years,21.1
Aged 50 to 64 years,17.0
Aged 65 years and over,12.4
