age_band,E14001475
Aged 15 years and under,15.6
Aged 16 to 24 years,7.9
Aged 25 to 34 years,9.1
Aged 35 to 49 years,16.6
Aged 50 to 64 years,23.9
Aged 65 years and over,26.9
