age_band,E14001075
Aged 15 years and under,18.8
Aged 16 to 24 years,9.4
Aged 25 to 34 years,14.2
Aged 35 to 49 years,18.2
Aged 50 to 64 years,21.0
Aged 65 years and over,18.5
