age_band,E14001088
Aged 15 years and under,14.7
Aged 16 to 24 years,7.7
Aged 25 to 34 years,8.7
Aged 35 to 49 years,14.2
Aged 50 to 64 years,22.4
Aged 65 years and over,32.2
