age_band,E14001426
Aged 15 years and under,19.4
Aged 16 to 24 years,9.6
Aged 25 to 34 years,13.1
Aged 35 to 49 years,18.3
Aged 50 to 64 years,19.7
Aged 65 years and over,19.9
