age_band,W07000091
Aged 15 years and under,15.3
Aged 16 to 24 years,23.0
Aged 25 to 34 years,16.9
Aged 35 to 49 years,17.2
Aged 50 to 64 years,14.2
Aged 65 years and over,13.3
