age_band,E14001597
Aged 15 years and under,17.6
Aged 16 to 24 years,12.1
Aged 25 to 34 years,14.0
Aged 35 to 49 years,19.3
Aged 50 to 64 years,19.4
Aged 65 years and over,17.6
