age_band,E14001083
Aged 15 years and under,18.8
Aged 16 to 24 years,7.9
Aged 25 to 34 years,13.9
Aged 35 to 49 years,24.2
Aged 50 to 64 years,19.3
Aged 65 years and over,15.9
