age_band,N05000013
Aged 15 years and under,18.2
Aged 16 to 24 years,8.4
Aged 25 to 34 years,10.8
Aged 35 to 49 years,19.1
Aged 50 to 64 years,20.7
Aged 65 years and over,22.8
