age_band,E14001235
Aged 15 years and under,19.4
Aged 16 to 24 years,8.6
Aged 25 to 34 years,11.8
Aged 35 to 49 years,18.8
Aged 50 to 64 years,20.8
Aged 65 years and over,20.7
