age_band,E14001300
Aged 15 years and under,21.1
Aged 16 to 24 years,11.2
Aged 25 to 34 years,15.2
Aged 35 to 49 years,22.8
Aged 50 to 64 years,16.8
Aged 65 years and over,12.9
