age_band,E14001185
Aged 15 years and under,18.2
Aged 16 to 24 years,9.1
Aged 25 to 34 years,14.3
Aged 35 to 49 years,19.6
Aged 50 to 64 years,20.0
Aged 65 years and over,18.9
