age_band,E14001268
Aged 15 years and under,21.3
Aged 16 to 24 years,7.8
Aged 25 to 34 years,8.4
Aged 35 to 49 years,21.3
Aged 50 to 64 years,21.3
Aged 65 years and over,19.9
