age_band,E14001094
Aged 15 years and under,23.8
Aged 16 to 24 years,13.1
Aged 25 to 34 years,14.7
Aged 35 to 49 years,20.8
Aged 50 to 64 years,15.5
Aged 65 years and over,12.1
