age_band,N05000007
Aged 15 years and under,21.8
Aged 16 to 24 years,9.8
Aged 25 to 34 years,12.0
Aged 35 to 49 years,20.0
Aged 50 to 64 years,18.9
Aged 65 years and over,17.5
