age_band,W07000103
Aged 15 years and under,17.6
Aged 16 to 24 years,11.7
Aged 25 to 34 years,12.5
Aged 35 to 49 years,18.1
Aged 50 to 64 years,19.9
Aged 65 years and over,20.2
