age_band,W07000106
Aged 15 years and under,18.6
Aged 16 to 24 years,11.1
Aged 25 to 34 years,13.4
Aged 35 to 49 years,18.8
Aged 50 to 64 years,19.6
Aged 65 years and over,18.5
