age_band,E14001499
Aged 15 years and under,18.2
Aged 16 to 24 years,14.0
Aged 25 to 34 years,16.9
Aged 35 to 49 years,19.6
Aged 50 to 64 years,16.7
Aged 65 years and over,14.6
