age_band,W07000097
Aged 15 years and under,16.8
Aged 16 to 24 years,9.3
Aged 25 to 34 years,10.3
Aged 35 to 49 years,17.7
Aged 50 to 64 years,21.3
Aged 65 years and over,24.6
