age_band,W07000088
Aged 15 years and under,18.8
Aged 16 to 24 years,9.4
Aged 25 to 34 years,12.6
Aged 35 to 49 years,19.1
Aged 50 to 64 years,20.3
Aged 65 years and over,19.8
