age_band,W07000110
Aged 15 years and under,18.7
Aged 16 to 24 years,9.1
Aged 25 to 34 years,12.1
Aged 35 to 49 years,18.3
Aged 50 to 64 years,20.8
Aged 65 years and over,21.1
