age_band,W07000095
Aged 15 years and under,17.8
Aged 16 to 24 years,8.9
Aged 25 to 34 years,10.9
Aged 35 to 49 years,16.2
Aged 50 to 64 years,21.0
Aged 65 years and over,25.2
