age_band,E14001311
Aged 15 years and under,19.7
Aged 16 to 24 years,9.1
Aged 25 to 34 years,13.3
Aged 35 to 49 years,20.1
Aged 50 to 64 years,19.5
Aged 65 years and over,18.2
