age_band,E14001338
Aged 15 years and under,13.8
Aged 16 to 24 years,26.9
Aged 25 to 34 years,19.3
Aged 35 to 49 years,15.8
Aged 50 to 64 years,13.5
Aged 65 years and over,10.7
