age_band,E14001227
Aged 15 years and under,19.8
Aged 16 to 24 years,9.2
Aged 25 to 34 years,10.9
Aged 35 to 49 years,21.6
Aged 50 to 64 years,19.6
Aged 65 years and over,18.9
