age_band,E14001183
Aged 15 years and under,17.4
Aged 16 to 24 years,8.4
Aged 25 to 34 years,12.6
Aged 35 to 49 years,19.4
Aged 50 to 64 years,20.6
Aged 65 years and over,21.5
