age_band,E14001116
Aged 15 years and under,14.9
Aged 16 to 24 years,17.4
Aged 25 to 34 years,14.4
Aged 35 to 49 years,18.4
Aged 50 to 64 years,17.1
Aged 65 years and over,17.8
