age_band,E14001522
Aged 15 years and under,19.0
Aged 16 to 24 years,8.8
Aged 25 to 34 years,11.6
Aged 35 to 49 years,18.1
Aged 50 to 64 years,20.3
Aged 65 years and over,22.1
