age_band,E14001362
Aged 15 years and under,16.6
Aged 16 to 24 years,8.6
Aged 25 to 34 years,10.3
Aged 35 to 49 years,18.3
Aged 50 to 64 years,22.3
Aged 65 years and over,23.9
