age_band,W07000099
Aged 15 years and under,18.7
Aged 16 to 24 years,9.7
Aged 25 to 34 years,13.2
Aged 35 to 49 years,18.1
Aged 50 to 64 years,20.5
Aged 65 years and over,19.7
