age_band,E14001322
Aged 15 years and under,18.7
Aged 16 to 24 years,8.2
Aged 25 to 34 years,11.5
Aged 35 to 49 years,20.4
Aged 50 to 64 years,19.6
Aged 65 years and over,21.5
