age_band,E14001448
Aged 15 years and under,20.0
Aged 16 to 24 years,9.7
Aged 25 to 34 years,14.8
Aged 35 to 49 years,20.7
Aged 50 to 64 years,18.3
Aged 65 years and over,16.6
