age_band,E14001098
Aged 15 years and under,24.0
Aged 16 to 24 years,13.9
Aged 25 to 34 years,14.7
Aged 35 to 49 years,20.6
Aged 50 to 64 years,15.9
Aged 65 years and over,10.9
