age_band,E14001412
Aged 15 years and under,16.0
Aged 16 to 24 years,29.6
Aged 25 to 34 years,13.0
Aged 35 to 49 years,15.2
Aged 50 to 64 years,13.9
Aged 65 years and over,12.4
