age_band,W07000089
Aged 15 years and under,19.2
Aged 16 to 24 years,16.4
Aged 25 to 34 years,15.7
Aged 35 to 49 years,18.6
Aged 50 to 64 years,15.9
Aged 65 years and over,14.3
