age_band,E14001459
Aged 15 years and under,17.4
Aged 16 to 24 years,17.0
Aged 25 to 34 years,23.2
Aged 35 to 49 years,18.7
Aged 50 to 64 years,13.4
Aged 65 years and over,10.3
