age_band,E14001297
Aged 15 years and under,20.1
Aged 16 to 24 years,13.2
Aged 25 to 34 years,13.7
Aged 35 to 49 years,19.0
Aged 50 to 64 years,18.1
Aged 65 years and over,16.0
