age_band,E14001163
Aged 15 years and under,15.2
Aged 16 to 24 years,12.5
Aged 25 to 34 years,13.3
Aged 35 to 49 years,18.0
Aged 50 to 64 years,19.5
Aged 65 years and over,21.6
