age_band,E14001212
Aged 15 years and under,18.1
Aged 16 to 24 years,8.3
Aged 25 to 34 years,10.1
Aged 35 to 49 years,18.8
Aged 50 to 64 years,22.3
Aged 65 years and over,22.5
