age_band,E14001189
Aged 15 years and under,23.6
Aged 16 to 24 years,10.8
Aged 25 to 34 years,14.4
Aged 35 to 49 years,21.3
Aged 50 to 64 years,17.3
Aged 65 years and over,12.6
