age_band,W07000086
Aged 15 years and under,17.3
Aged 16 to 24 years,8.8
Aged 25 to 34 years,13.0
Aged 35 to 49 years,18.7
Aged 50 to 64 years,21.1
Aged 65 years and over,21.2
