age_band,W07000101
Aged 15 years and under,15.8
Aged 16 to 24 years,8.0
Aged 25 to 34 years,9.9
Aged 35 to 49 years,16.9
Aged 50 to 64 years,23.4
Aged 65 years and over,25.9
