age_band,N05000004
Aged 15 years and under,22.3
Aged 16 to 24 years,11.1
Aged 25 to 34 years,14.1
Aged 35 to 49 years,18.6
Aged 50 to 64 years,19.5
Aged 65 years and over,14.5
