age_band,E14001259
Aged 15 years and under,22.5
Aged 16 to 24 years,11.5
Aged 25 to 34 years,20.9
Aged 35 to 49 years,21.9
Aged 50 to 64 years,14.9
Aged 65 years and over,8.4
