age_band,W07000105
Aged 15 years and under,18.9
Aged 16 to 24 years,8.9
Aged 25 to 34 years,12.6
Aged 35 to 49 years,19.4
Aged 50 to 64 years,20.4
Aged 65 years and over,19.8
